"ID","URL","Title","Slug","Lang","YoastTitle","YoastDesc","ContentPreview","Parent","Type"
"6874","https://enorpa.com/tr/kuvars-ng-serisi/","Kuvars NG Serisi","kuvars-ng-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"6876","https://enorpa.com/tr/turmalin-serisi/","Turmalin Serisi","turmalin-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"6941","https://enorpa.com/tr/sicak-su-kazanlari/","Sıcak Su Kazanları","sicak-su-kazanlari",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#151519&#8243; scene_po...","0","page"
"6943","https://enorpa.com/tr/sicak-hava-kazanlari/","Sıcak Hava Kazanları","sicak-hava-kazanlari",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#151519&#8243; scene_po...","0","page"
"6945","https://enorpa.com/tr/buhar-kazanlari/","Buhar Kazanları","buhar-kazanlari",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#151519&#8243; scene_po...","0","page"
"7008","https://enorpa.com/tr/referanslarimiz/","Referanslarımız","referanslarimiz",,"","","[vc_row type=&#8221;full_width_content&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_image=&#8221;6141&#8243; bg_position=&#...","0","page"
"7067","https://enorpa.com/tr/kizgin-su-kazanlari/","Kızgın Su Kazanları","kizgin-su-kazanlari",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#151519&#8243; scene_po...","0","page"
"7073","https://enorpa.com/tr/turkuaz-ks-serisi/","Turkuaz Ks Serisi","turkuaz-ks-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"7081","https://enorpa.com/tr/akuamarin-ks-serisi/","Akuamarin KS Serisi &#8211; Kızgın Su Kazanı","akuamarin-ks-serisi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
"7133","https://enorpa.com/tr/anahtar-teslim-sera-isitma-sistemi/","Anahtar Teslim Sera Isıtma Sistemi","anahtar-teslim-sera-isitma-sistemi",,"","","[vc_row type=&#8221;full_width_background&#8221; full_screen_row_position=&#8221;middle&#8221; column_margin=&#8221;default&#8221; column_direction=&#8221;default&#8221; column_direction_tablet=&#8221;default&#8221; column_direction_phone=&#8221;default&#8221; bg_color=&#8221;#5c6971&#8243; bg_image...","0","page"
