"Site Crawled","https://enorpa.com/"
"Start Date","2026-06-28"
"Start Time","20:08:45"
"Last Modified Date","2026-06-28"
"Last Modified Time","20:10:00"
"Elapsed","00:01:14"
"Report Date","2026-06-28"
"Report Time","20:10:15"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Scope Attribute Should Be Used Correctly On Tables","0","0,00%","137",""
""
"Custom Search"
"All","145","100,00%","145","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","137","100,00%","137","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","380","100,00%","380","Internal HTML pages with 2xx response"
""
"Analytics"
"All","186","100,00%","186","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0,00%","186","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0,00%","186","Internal URLs with associated Google Analytics data"
"No GA Data","0","0,00%","186","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0,00%","186","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0,00%","186","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","186","100,00%","186","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0,00%","186","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0,00%","186","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0,00%","186","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0,00%","186","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0,00%","186","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0,00%","186","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0,00%","186","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0,00%","186","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0,00%","186","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0,00%","186","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0,00%","186","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","421","100,00%","421","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0,00%","421","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0,00%","421","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0,00%","421","Internal URLs with 2xx response"
"Missing <head> Tag","0","0,00%","421","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0,00%","421","Internal URLs with 2xx response"
"Missing <body> Tag","0","0,00%","421","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0,00%","421","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0,00%","421","Internal URLs with 2xx response"
"Resource Over 2MB","0","0,00%","421","Internal URLs with 2xx response"
"High Carbon Rating","0","0,00%","421","Internal URLs with 2xx response"
""
"Link Metrics"
"All","185","100,00%","185","Internal HTML/PDF pages"
""
"AI"
"All","380","100,00%","380","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","0","0,00%","137","Internal HTML pages with 2xx response"
"1","1","0,73%","137","Internal HTML pages with 2xx response"
"2","20","14,60%","137","Internal HTML pages with 2xx response"
"3","57","41,61%","137","Internal HTML pages with 2xx response"
"4","58","42,34%","137","Internal HTML pages with 2xx response"
"5","1","0,73%","137","Internal HTML pages with 2xx response"
"6","0","0,00%","137","Internal HTML pages with 2xx response"
"7","0","0,00%","137","Internal HTML pages with 2xx response"
"8","0","0,00%","137","Internal HTML pages with 2xx response"
"9","0","0,00%","137","Internal HTML pages with 2xx response"
"10+","0","0,00%","137","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://enorpa.com/ru/","133","97,08%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/en/","133","97,08%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/","80","58,39%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/iletisim/","76","55,47%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/projeler/","76","55,47%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/urunler/","76","55,47%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/kondenser/","67","48,91%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/hakkimizda/","66","48,18%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/sicak-su-kazanlari/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/referanslarimiz/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/sicak-hava-kazanlari/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/ekonomizer/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/anahtar-teslim-sera-isitma-sistemi/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/baca/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/kizgin-su-kazanlari/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/buhar-kazanlari/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/kazan-kontrol-panosu/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/kazan-otomasyon-sistemi/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/brulorler/","65","47,45%","137","Internal HTML pages with 2xx response"
"https://enorpa.com/tr/yedek-parca/","65","47,45%","137","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","343","81,47%"
"2","60","14,25%"
"3","14","3,33%"
"4","2","0,48%"
"5","2","0,48%"
